Count,Tradelist Count,Name,Expansion,Foil,Condition,Language,Card Number
1,1,"Radha, Coalition Warlord",Dominaria United,0,Near Mint,English,211
1,1,Urborg Repossession,Dominaria United,0,Near Mint,English,114
1,1,In Thrall to the Pit,Dominaria United,0,Near Mint,English,132
1,1,Bone Splinters,Dominaria United,0,Near Mint,English,83
1,1,Artillery Blast,Dominaria United,0,Near Mint,English,6
1,1,Sacred Peaks,Dominaria United,0,Near Mint,English,254
1,1,Meria's Outrider,Dominaria United,0,Near Mint,English,138
1,1,Yotia Declares War,Dominaria United,0,Near Mint,English,153
1,1,Combat Research,Dominaria United,0,Near Mint,English,44
1,1,Micromancer,Dominaria United,0,Near Mint,English,57
1,1,Jodah's Codex,Dominaria United,0,Near Mint,English,233
1,1,"Jhoira, Ageless Innovator",Dominaria United,0,Near Mint,English,202
1,1,In Thrall to the Pit,Dominaria United,0,Near Mint,English,132
1,1,Llanowar Stalker,Dominaria United,0,Near Mint,English,171
1,1,Yavimaya Steelcrusher,Dominaria United,0,Near Mint,English,152
1,1,Citizen's Arrest,Dominaria United,0,Near Mint,English,11
1,1,"Elas il-Kor, Sadistic Pilgrim",Dominaria United,0,Near Mint,English,198
1,1,Battle-Rage Blessing,Dominaria United,0,Near Mint,English,80
1,1,Toxic Abomination,Dominaria United,0,Near Mint,English,112
1,1,Phyrexian Espionage,Dominaria United,0,Near Mint,English,60
1,1,Snarespinner,Dominaria United,0,Near Mint,English,179
1,1,Hexbane Tortoise,Dominaria United,0,Near Mint,English,166
1,1,Pilfer,Dominaria United,0,Near Mint,English,102
1,1,Shadow Prophecy,Dominaria United,0,Near Mint,English,105
1,1,Shadow Prophecy,Dominaria United,0,Near Mint,English,105
1,1,"Uurg, Spawn of Turg",Dominaria United,0,Near Mint,English,225
1,1,Contaminated Aquifer,Dominaria United,0,Near Mint,English,245
1,1,Captain's Call,Dominaria United,0,Near Mint,English,9
1,1,Keldon Strike Team,Dominaria United,0,Near Mint,English,136
1,1,Molten Monstrosity,Dominaria United,0,Near Mint,English,139
1,1,"Elas il-Kor, Sadistic Pilgrim",Dominaria United,0,Near Mint,English,198
1,1,Yavimaya Iconoclast,Dominaria United,0,Near Mint,English,190
1,1,Sunbathing Rootwalla,Dominaria United,0,Near Mint,English,181
1,1,Phyrexian Rager,Dominaria United,0,Near Mint,English,99
1,1,Floriferous Vinewall,Dominaria United,0,Near Mint,English,163
1,1,Floriferous Vinewall,Dominaria United,0,Near Mint,English,163
1,1,Linebreaker Baloth,Dominaria United,0,Near Mint,English,168
1,1,Tail Swipe,Dominaria United,0,Near Mint,English,182
1,1,Haunting Figment,Dominaria United,0,Near Mint,English,53
1,1,Soaring Drake,Dominaria United,0,Near Mint,English,66
1,1,Impulse,Dominaria United,0,Near Mint,English,55
1,1,Essence Scatter,Dominaria United,0,Near Mint,English,49
1,1,Volshe Tideturner,Dominaria United,0,Near Mint,English,77
1,1,Shore Up,Dominaria United,0,Near Mint,English,64
1,1,Haunting Figment,Dominaria United,0,Near Mint,English,53
1,1,Tattered Apparition,Dominaria United,0,Near Mint,English,111
1,1,Talas Lookout,Dominaria United,0,Near Mint,English,68
1,1,Artillery Blast,Dominaria United,0,Near Mint,English,6
1,1,Scout the Wilderness,Dominaria United,0,Near Mint,English,176
1,1,Leaf-Crowned Visionary,Dominaria United,0,Near Mint,English,167
1,1,Juniper Order Rootweaver,Dominaria United,0,Near Mint,English,22
1,1,Take Up the Shield,Dominaria United,0,Near Mint,English,35
1,1,Samite Herbalist,Dominaria United,0,Near Mint,English,31
1,1,Charismatic Vanguard,Dominaria United,0,Near Mint,English,10
1,1,Mesa Cavalier,Dominaria United,0,Near Mint,English,26
1,1,Wooded Ridgeline,Dominaria United,0,Near Mint,English,260
1,1,Flowstone Kavu,Dominaria United,0,Near Mint,English,125
1,1,Furious Bellow,Dominaria United,0,Near Mint,English,126
1,1,Viashino Branchrider,Dominaria United,0,Near Mint,English,150
1,1,Deathbloom Gardener,Dominaria United,0,Near Mint,English,159
1,1,Furious Bellow,Dominaria United,0,Near Mint,English,126
1,1,Smash to Dust,Dominaria United,0,Near Mint,English,144
1,1,Meria's Outrider,Dominaria United,0,Near Mint,English,138
1,1,Smash to Dust,Dominaria United,0,Near Mint,English,144
1,1,Viashino Branchrider,Dominaria United,0,Near Mint,English,150
1,1,Tolarian Terror,Dominaria United,0,Near Mint,English,72
1,1,Essence Scatter,Dominaria United,0,Near Mint,English,49
1,1,Academy Wall,Dominaria United,0,Near Mint,English,41
1,1,Rona's Vortex,Dominaria United,0,Near Mint,English,63
1,1,Radiant Grove,Dominaria United,0,Near Mint,English,253
1,1,Sunlit Marsh,Dominaria United,0,Near Mint,English,257
1,1,Keldon Strike Team,Dominaria United,0,Near Mint,English,136
1,1,Cult Conscript,Dominaria United,0,Near Mint,English,88
1,1,Braids's Frightful Return,Dominaria United,0,Near Mint,English,85
1,1,Destroy Evil,Dominaria United,0,Near Mint,English,17
1,1,Sunbathing Rootwalla,Dominaria United,0,Near Mint,English,181
1,1,Urborg Repossession,Dominaria United,0,Near Mint,English,114
1,1,Tail Swipe,Dominaria United,0,Near Mint,English,182
1,1,Bog Badger,Dominaria United,0,Near Mint,English,156
1,1,Sprouting Goblin,Dominaria United,0,Near Mint,English,145
1,1,Jaya's Firenado,Dominaria United,0,Near Mint,English,134
1,1,Sunbathing Rootwalla,Dominaria United,0,Near Mint,English,181
1,1,Bog Badger,Dominaria United,0,Near Mint,English,156
1,1,Gaea's Might,Dominaria United,0,Near Mint,English,164
1,1,Linebreaker Baloth,Dominaria United,0,Near Mint,English,168
1,1,Writhing Necromass,Dominaria United,0,Near Mint,English,115
1,1,Geothermal Bog,Dominaria United,0,Near Mint,English,247
1,1,Haunted Mire,Dominaria United,0,Near Mint,English,248
1,1,Bite Down,Dominaria United,0,Near Mint,English,155
1,1,Scout the Wilderness,Dominaria United,0,Near Mint,English,176
1,1,Prayer of Binding,Dominaria United,0,Near Mint,English,28
1,1,Broken Wings,Dominaria United,0,Near Mint,English,157
1,1,Bite Down,Dominaria United,0,Near Mint,English,155
1,1,Choking Miasma,Dominaria United,0,Near Mint,English,86
1,1,Tribute to Urborg,Dominaria United,0,Near Mint,English,113
1,1,Shalai's Acolyte,Dominaria United,0,Near Mint,English,33
1,1,Eerie Soultender,Dominaria United,0,Near Mint,English,92
1,1,Drag to the Bottom,Dominaria United,0,Near Mint,English,91
1,1,Salvaged Manaworker,Dominaria United,0,Near Mint,English,237
1,1,Splatter Goblin,Dominaria United,0,Near Mint,English,109
1,1,Knight of Dusk's Shadow,Dominaria United,0,Near Mint,English,96
1,1,"Karn, Living Legacy",Dominaria United,0,Near Mint,English,1
1,1,Slimefoot's Survey,Dominaria United,0,Near Mint,English,178
1,1,Phyrexian Rager,Dominaria United,0,Near Mint,English,99
1,1,The Weatherseed Treaty,Dominaria United,0,Near Mint,English,188
1,1,Automatic Librarian,Dominaria United,0,Near Mint,English,229
1,1,Elfhame Wurm,Dominaria United,0,Near Mint,English,161
1,1,Defiler of Faith,Dominaria United,0,Near Mint,English,16
1,1,Vanquisher's Axe,Dominaria United,0,Near Mint,English,240
1,1,Mountain,Dominaria United,0,Near Mint,English,273
1,1,Forest,Dominaria United,0,Near Mint,English,274
1,1,Llanowar Loamspeaker,Dominaria United,0,Near Mint,English,170
1,1,Sprouting Goblin,Dominaria United,0,Near Mint,English,145
1,1,Hurloon Battle Hymn,Dominaria United,0,Near Mint,English,131
1,1,Crystal Grotto,Dominaria United,0,Near Mint,English,246
1,1,Timely Interference,Dominaria United,0,Near Mint,English,70
1,1,Inscribed Tablet,Dominaria United,0,Near Mint,English,232
1,1,Flowstone Infusion,Dominaria United,0,Near Mint,English,124
1,1,Shadow Prophecy,Dominaria United,0,Near Mint,English,105
1,1,Gibbering Barricade,Dominaria United,0,Near Mint,English,95
1,1,In Thrall to the Pit,Dominaria United,0,Near Mint,English,132
1,1,Gaea's Might,Dominaria United,0,Near Mint,English,164
1,1,Cut Down,Dominaria United,0,Near Mint,English,89
1,1,Scout the Wilderness,Dominaria United,0,Near Mint,English,176
1,1,Lightning Strike,Dominaria United,0,Near Mint,English,137
1,1,Smash to Dust,Dominaria United,0,Near Mint,English,144
